mz	intensity	present	rsd	present_flag	rsd_flag	flags
132.064889771	10494.0263672	2	2.65882291851	1	1	1
132.065502412	23811.0970052	3	9.71787540776	1	1	1
132.07148168	10426.1181641	1	nan	0	0	0
132.07190329	10098.2597656	1	nan	0	0	0
132.072644478	11830.0063477	2	4.22720494466	1	1	1
132.073012571	12206.4182943	3	7.81534394075	1	1	1
132.073508441	13013.9767253	3	7.82661183496	1	1	1
132.073820018	16103.6386719	1	nan	0	0	0
132.074116375	17954.6119792	3	3.39199065552	1	1	1
132.074579565	34143.4095052	3	6.79922539731	1	1	1
132.075002533	84544.5494792	3	4.80501021679	1	1	1
132.075554908	421997.104167	3	4.06704227299	1	1	1
132.076093559	1973060.66667	3	4.25706654371	1	1	1
132.076677518	19687556.0	3	2.36560892219	1	1	1
132.077212245	2258711.5	3	2.78158748038	1	1	1
132.078009581	51243.9101562	1	nan	0	0	0
132.078367262	28452.3450521	3	1.23679117933	1	1	1
132.078794235	23918.233724	3	3.72920792136	1	1	1
132.079218173	20152.2057292	3	5.36182585356	1	1	1
132.07964307	16730.9111328	3	5.46494823026	1	1	1
132.080065621	14367.8914388	3	4.39359351627	1	1	1
132.080488677	11964.8889974	3	6.07336712762	1	1	1
132.080845122	11202.9453125	3	4.86518816542	1	1	1
132.081384508	11431.1152344	2	2.89061636354	1	1	1
132.082071653	10738.0546875	1	nan	0	0	0
132.100773957	17964.1048177	3	0.663026528358	1	1	1
132.101230475	63639.3828125	3	1.54008142653	1	1	1
132.101922048	212999.802083	3	8.91527884671	1	1	1
132.102468751	17907.265625	3	8.63018415956	1	1	1
132.972004445	15703.6940104	3	1.19273050449	1	1	1
133.00862005	12059.121582	2	12.1731673472	1	1	1
133.016474054	12860.6777344	1	nan	0	0	0
133.031794882	14567.6738281	1	nan	0	0	0
133.033909153	12056.6191406	2	0.610871005926	1	1	1
133.034599636	40982.6067708	3	14.4837229899	1	1	1
133.060757252	13628.7021484	3	8.5065320701	1	1	1
133.072614211	12299.8232422	1	nan	0	0	0
133.073114304	34126.6614583	3	1.55667421544	1	1	1
133.073800536	128633.817708	3	3.38347570865	1	1	1
