mz	intensity	present	rsd	present_flag	rsd_flag	flags
132.082712895	8410.93066406	1	nan	0	0	0
132.082973909	8855.24987793	2	4.14064187487	1	1	1
132.083564588	7860.75878906	1	nan	0	0	0
132.084193045	7715.58447266	1	nan	0	0	0
132.084616554	8334.390625	2	0.488738772518	1	1	1
132.100775387	17141.5885417	3	3.63056251862	1	1	1
132.101234894	60522.6809896	3	10.3330950795	1	1	1
132.101901978	234752.46875	3	3.68759615084	1	1	1
132.102488682	21331.1835938	3	8.92006701492	1	1	1
132.441384924	13045.2099609	2	11.2567060392	1	1	1
132.442325403	12579.0878906	2	34.169418397	1	0	0
132.443038033	9187.58349609	2	9.58025413353	1	1	1
132.443829253	13120.3046875	2	3.14222528416	1	1	1
132.444327664	12452.0322266	1	nan	0	0	0
132.444634452	12296.4023438	1	nan	0	0	0
132.807700984	10628.1796875	1	nan	0	0	0
132.808016651	12931.2558594	1	nan	0	0	0
132.80829482	12830.2763672	1	nan	0	0	0
132.809525941	13807.8408203	1	nan	0	0	0
132.813065072	9280.88183594	1	nan	0	0	0
132.813575052	10487.4091797	1	nan	0	0	0
132.814529897	9242.20214844	1	nan	0	0	0
132.971999191	13005.3541667	3	5.40750771454	1	1	1
133.00862576	12746.9059245	3	24.2651799024	1	0	0
133.016437736	10907.6038411	3	23.8363015649	1	0	0
133.031729172	9005.15039062	1	nan	0	0	0
133.034574729	21156.3632812	3	32.6833096697	1	0	0
133.060804042	10456.2851562	1	nan	0	0	0
133.072603867	10059.235026	3	11.8785068217	1	1	1
133.073117868	32550.3997396	3	6.15013262249	1	1	1
133.073802173	132166.104167	3	3.05974257585	1	1	1
133.074291152	13481.4902344	2	8.36857044881	1	1	1
133.078510561	11176.8307292	3	9.22173297414	1	1	1
133.07892688	43728.4726562	3	1.1729292531	1	1	1
133.079456766	153577.265625	3	2.68588750845	1	1	1
133.080103812	635204.104167	3	3.96239832341	1	1	1
133.080624915	62194.5253906	2	9.03836020786	1	1	1
133.081099677	9599.03808594	1	nan	0	0	0
133.08304958	14094.4817708	3	7.49633789978	1	1	1
133.085911183	8689.2890625	1	nan	0	0	0
133.09718804	10646.1616211	2	5.42388943271	1	1	1
133.105289745	17655.9329427	3	18.3202882972	1	1	1
134.026974879	9586.49902344	2	14.0924405916	1	1	1
134.044690019	9351.890625	1	nan	0	0	0
134.077167108	8365.97753906	1	nan	0	0	0
134.080326463	10946.4661458	3	22.8562668098	1	0	0
134.08098858	65073.5755208	3	6.01689597277	1	1	1
134.083440828	10321.0768229	3	11.1977687408	1	1	1
134.996458457	24557.4316406	2	17.2955615444	1	1	1
135.00215541	14427.4404297	2	36.0540782644	1	0	0
135.002842961	73138.0351562	3	53.1278880955	1	0	0
135.003418757	9772.59667969	1	nan	0	0	0
135.080364469	8947.88330078	2	13.574433985	1	1	1
135.101513962	11063.0761719	1	nan	0	0	0
135.52824471	10619.843099	3	17.459649659	1	1	1
136.046462727	9629.54882812	1	nan	0	0	0
136.046905421	37492.0924479	3	30.9817812022	1	0	0
136.047438843	95449.6927083	3	29.6760828992	1	0	0
136.048113072	652690.114583	3	28.566830885	1	0	0
136.048668572	57804.9934896	3	28.7940428018	1	0	0
136.061781641	49401.6744792	3	11.6543576254	1	1	1
136.07323504	10535.711263	3	15.5999228571	1	1	1
136.939326252	14879.6435547	3	16.7170716969	1	1	1
136.940047871	84675.7057292	3	12.4470961683	1	1	1
137.006708603	9632.13867188	1	nan	0	0	0
137.011159066	10691.9511719	1	nan	0	0	0
137.02949562	19337.2763672	3	16.5372170065	1	1	1
137.045789498	64127.0807292	3	13.0901463869	1	1	1
137.051495477	23307.9798177	3	8.68382066997	1	1	1
137.057259094	19555.1162109	3	35.1697299047	1	0	0
138.031588628	9106.70703125	2	9.83786203249	1	1	1
138.052560855	11827.1097005	3	17.9944081345	1	1	1
138.09138289	8568.54589844	1	nan	0	0	0
138.938080413	9208.609375	1	nan	0	0	0
138.964138739	18695.514974	3	36.5943341808	1	0	0
139.014851152	12560.3538411	3	16.8936765275	1	1	1
139.015596456	70202.4791667	3	11.2122386964	1	1	1
139.036568244	13403.5187174	3	36.1883085342	1	0	0
139.111774872	11168.6469727	2	1.75630729666	1	1	1
140.06690815	46838.3684896	3	24.2461247505	1	0	0
140.067472717	130722.294271	3	27.1419750492	1	0	0
140.068179007	840314.833333	3	26.9995879451	1	0	0
140.068732363	72606.7877604	3	22.9640010372	1	0	0
140.994902459	16848.2223307	3	10.658578671	1	1	1
141.015065643	11464.328125	1	nan	0	0	0
141.015875761	53898.3828125	3	14.8230643996	1	1	1
141.071588001	32058.3710938	3	16.2387790254	1	1	1
141.08865201	11804.2495117	2	19.0206304395	1	1	1
142.026429163	10547.2172852	2	8.19055363064	1	1	1
142.047499589	8709.02734375	1	nan	0	0	0
142.948098429	29720.5784505	3	53.687189925	1	0	0
143.010538568	13457.8085938	3	19.0985418623	1	1	1
143.021707761	11688.6323242	2	26.464494019	1	0	0
143.048543165	10787.6391602	2	22.9704950667	1	0	0
143.106722775	9785.37792969	1	nan	0	0	0
